,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
377,210,1,11,3,1,0,5,0,50,3,"[572.3499999999999, 19.549999999999997]"
378,210,4,13,4,1,1,1,1,217,47,"[412.71698223858164, 365.52592105440715]"
379,210,5,9,1,0,0,3,3,27,12,"[170.3973937983625, 215.04570526698643]"
380,210,0,10,1,0,0,3,3,480,489,"[20.0, 20.0]"
381,211,1,11,3,1,0,5,0,55,3,"[567.085, 20.134999999999998]"
382,211,4,13,4,1,1,1,1,218,48,"[412.4755701960885, 365.1151901586236]"
383,211,0,10,1,0,0,3,3,483,492,"[20.0, 20.0]"
384,212,1,11,3,1,0,5,0,60,3,"[559.7545, 28.707500000000003]"
385,212,4,13,4,1,1,1,1,219,49,"[412.25829935784463, 364.74553235241837]"
386,212,0,10,1,0,0,3,3,486,495,"[20.0, 20.0]"
387,213,1,11,3,1,0,5,0,65,3,"[548.5967500000002, 40.991150000000005]"
388,213,4,13,4,1,1,1,1,220,50,"[412.0627556034252, 364.4128403268337]"
389,213,0,10,1,0,0,3,3,489,498,"[20.0, 20.0]"
390,214,1,11,3,1,0,5,0,70,3,"[532.2230050000003, 63.73959500000002]"
391,214,4,13,4,1,1,1,1,221,51,"[411.8867662244477, 364.11341750380745]"
392,214,0,10,1,0,0,3,3,492,501,"[20.0, 20.0]"
393,215,4,13,4,1,1,1,1,222,52,"[411.72837578336794, 363.8439369630839]"
394,215,0,10,1,0,0,3,3,495,504,"[20.0, 20.0]"
395,216,4,13,4,1,1,1,1,223,53,"[411.5858243863962, 363.60140447643266]"
396,216,0,10,1,0,0,3,3,498,507,"[20.0, 20.0]"
397,217,4,13,4,1,1,1,1,224,54,"[411.45752812912167, 363.3831252384465]"
398,217,0,10,1,0,0,3,3,501,510,"[20.0, 20.0]"
399,218,4,13,4,1,1,1,1,225,55,"[411.3420614975746, 363.186673924259]"
400,218,0,10,1,0,0,3,3,504,513,"[20.0, 20.0]"
401,219,4,13,4,1,1,1,1,226,56,"[411.23814152918226, 363.00986774149027]"
402,219,6,11,1,0,0,3,3,48,3,"[385.73072996121243, 293.21432749103883]"
403,219,0,10,1,0,0,3,3,507,516,"[20.0, 20.0]"
404,219,1,11,2,0,1,0,5,6,75,"[431.0390807500016, 224.07895325000015]"
405,220,1,11,3,1,0,5,0,80,6,"[448.30371235000166, 205.15841435000013]"
406,220,4,13,4,1,1,1,1,227,57,"[411.14461355762916, 362.8507421769984]"
407,220,0,10,1,0,0,3,3,510,519,"[20.0, 20.0]"
408,221,2,5,1,0,0,3,3,39,30,"[311.95036710901377, 379.4225644888053]"
409,221,4,13,4,1,1,1,1,228,58,"[411.06043838323137, 362.7075291689557]"
410,221,9,14,2,0,1,0,5,15,190,"[90.65910452562204, 336.0639593218001]"
411,221,0,10,1,0,0,3,3,513,522,"[20.0, 20.0]"
412,222,4,13,4,1,1,1,1,229,59,"[410.9846807262734, 362.5786374617173]"
413,222,6,11,1,0,0,3,3,51,6,"[340.7600954591743, 336.36672144759757]"
414,222,0,10,1,0,0,3,3,516,525,"[20.0, 20.0]"
415,223,1,11,3,1,0,5,0,85,9,"[456.54137981087445, 210.6487924410813]"
416,223,4,13,4,1,1,1,1,230,60,"[410.91649883501117, 362.46263492520274]"
417,223,0,10,1,0,0,3,3,519,528,"[20.0, 20.0]"
418,224,4,13,4,1,1,1,1,231,61,"[410.85513513287526, 362.35823264233966]"
419,224,4,6,2,0,1,0,5,54,232,"[396.61467211108845, 344.2711802339991]"
420,224,0,10,1,0,0,3,3,522,531,"[20.0, 20.0]"
421,225,2,5,1,0,0,3,3,42,33,"[262.95476438302666, 336.124300666483]"
422,225,4,13,4,1,1,1,1,237,62,"[403.9709452742228, 352.9653115560526]"
423,225,0,10,1,0,0,3,3,525,534,"[20.0, 20.0]"
424,226,4,13,4,1,1,1,1,238,63,"[397.97447900682164, 345.06105463268966]"
425,226,0,10,1,0,0,3,3,528,537,"[20.0, 20.0]"
426,227,2,5,1,0,0,3,3,45,36,"[291.9824011954341, 364.54800041063277]"
427,227,4,13,4,1,1,1,1,239,64,"[392.57765936616056, 337.94722340166305]"
428,227,0,10,1,0,0,3,3,531,540,"[20.0, 20.0]"
429,228,4,13,4,1,1,1,1,240,65,"[387.72052168956566, 331.5447752937391]"
430,228,0,10,1,0,0,3,3,534,543,"[20.0, 20.0]"
431,229,4,13,4,1,1,1,1,241,66,"[383.34909778063013, 325.78257199660754]"
432,229,0,10,1,0,0,3,3,537,546,"[20.0, 20.0]"
433,230,4,13,4,1,1,1,1,242,67,"[379.41481626258826, 320.5965890291892]"
434,230,0,10,1,0,0,3,3,540,549,"[20.0, 20.0]"
435,231,4,13,4,1,1,1,1,243,68,"[375.8739628963505, 315.9292043585126]"
436,231,0,10,1,0,0,3,3,543,552,"[20.0, 20.0]"
437,232,4,13,4,1,1,1,1,244,69,"[372.6871948667366, 311.72855815490374]"
438,232,0,10,1,0,0,3,3,546,555,"[20.0, 20.0]"
439,233,4,13,4,1,1,1,1,245,70,"[369.8191036400841, 307.9479765716558]"
440,233,0,10,1,0,0,3,3,549,558,"[20.0, 20.0]"
441,234,4,13,4,1,1,1,1,246,71,"[367.2378215360968, 304.5454531467326]"
442,234,0,10,1,0,0,3,3,552,561,"[20.0, 20.0]"
443,235,4,13,4,1,1,1,1,247,72,"[364.91466764250833, 301.48318206430173]"
444,235,0,10,1,0,0,3,3,555,564,"[20.0, 20.0]"
445,236,4,13,4,1,1,1,1,248,73,"[362.82382913827865, 298.72713809011395]"
446,236,0,10,1,0,0,3,3,558,567,"[20.0, 20.0]"
447,237,4,13,4,1,1,1,1,249,74,"[360.94207448447196, 296.246698513345]"
448,237,0,10,1,0,0,3,3,561,570,"[20.0, 20.0]"
449,238,4,13,4,1,1,1,1,250,75,"[359.2484952960459, 294.01430289425286]"
450,238,0,10,1,0,0,3,3,564,573,"[20.0, 20.0]"
